20111023,ARI,PIT,-7
20111023,SDG,NYJ,-7
20111023,NYJ,SDG,7
20111023,SEA,CLE,0
20111023,CLE,SEA,0
20111023,STL,DAL,-13
20111023,DAL,STL,13
20111023,WAS,CAR,-10
20111023,CAR,WAS,10
20111024,BAL,JAX,-15
20111024,JAX,BAL,15
20111030,ARI,BAL,8
20111030,BAL,ARI,-8
20111030,CIN,SEA,20
20111030,SEA,CIN,-20
20111030,CLE,SFO,0
20111030,SFO,CLE,0
20111030,DAL,PHI,-24
20111030,PHI,DAL,24
20111030,DET,DEN,31
20111030,DEN,DET,-31
20111030,IND,TEN,-9
20111030,TEN,IND,9
20111030,JAX,HOU,0
20111030,HOU,JAX,0
20111030,MIA,NYG,7
20111030,NYG,MIA,-7
20111030,MIN,CAR,6
20111030,CAR,MIN,-6
20111030,NOR,STL,-24
20111030,STL,NOR,24
20111030,NWE,PIT,-11
20111030,PIT,NWE,11
20111030,WAS,BUF,-19
20111030,BUF,WAS,19
20111031,SDG,KAN,-6
20111031,KAN,SDG,6
20111106,ATL,IND,17
20111106,IND,ATL,-17
20111106,BAL,PIT,6
20111106,PIT,BAL,-6
20111106,CIN,TEN,10
20111106,TEN,CIN,-10
20111106,CLE,HOU,-7
20111106,HOU,CLE,7
20111106,DEN,OAK,21
20111106,OAK,DEN,-21
20111106,GNB,SDG,1
20111106,SDG,GNB,-1
20111106,MIA,KAN,32
20111106,KAN,MIA,-32
20111106,NYG,NWE,13
20111106,NWE,NYG,-13
20111106,NYJ,BUF,18
20111106,BUF,NYJ,-18
20111106,SEA,DAL,1
20111106,DAL,SEA,-1
20111106,SFO,WAS,3
20111106,WAS,SFO,-3
20111106,STL,ARI,-3
20111106,ARI,STL,3
20111106,TAM,NOR,-2
20111106,NOR,TAM,2
20111107,CHI,PHI,14
20111107,PHI,CHI,-14
20111110,OAK,SDG,14
20111110,SDG,OAK,-14
20111113,ARI,PHI,17
20111113,PHI,ARI,-17
20111113,BAL,SEA,-12
20111113,SEA,BAL,12
20111113,BUF,DAL,-32
20111113,DAL,BUF,32
20111113,DEN,KAN,10
20111113,KAN,DEN,-10
20111113,DET,CHI,-21
20111113,CHI,DET,21
20111113,HOU,TAM,24
20111113,TAM,HOU,-24
20111113,JAX,IND,11
20111113,IND,JAX,-11
20111113,NOR,ATL,4
20111113,ATL,NOR,-4
20111113,NWE,NYJ,23
20111113,NYJ,NWE,-23
20111113,NYG,SFO,-3
20111113,SFO,NYG,3
20111113,PIT,CIN,3
20111113,CIN,PIT,-3
20111113,STL,CLE,4
20111113,CLE,STL,-4
20111113,TEN,CAR,30
20111113,CAR,TEN,-30
20111113,WAS,MIA,-7
20111113,MIA,WAS,7
20111114,MIN,GNB,-25
20111114,GNB,MIN,25
20111117,NYJ,DEN,-10
20111117,DEN,NYJ,10
20111120,ARI,SFO,-6
20111120,SFO,ARI,6
20111120,BUF,MIA,-24
20111120,MIA,BUF,24
20111120,CAR,DET,-7
20111120,DET,CAR,7
