date,vis,hom,vis_score,hom_score,line,tag
20001105,PIT,TEN,7,9,8,1.0
20001105,SDG,SEA,15,17,4.5,1.0
20001105,SFO,NOR,15,31,5.5,0.0
20001105,TAM,ATL,27,14,-7,1.0
20001105,WAS,ARI,15,16,-10,0.0
20001106,MIN,GNB,20,26,-3.5,0.0
20001112,ARI,MIN,14,31,12.5,0.0
20001112,ATL,DET,10,13,8.5,1.0
20001112,BAL,TEN,24,23,4,1.0
20001112,CHI,BUF,3,20,7,0.0
20001112,CIN,DAL,6,23,8.5,0.0
20001112,GNB,TAM,15,20,9,1.0
20001112,KAN,SFO,7,21,-3.5,0.0
20001112,MIA,SDG,17,7,-5,1.0
20001112,NOR,CAR,20,10,-2,1.0
20001112,NWE,CLE,11,19,-7,0.0
20001112,NYJ,IND,15,23,6,0.0
20001112,PHI,PIT,26,23,3.5,1.0
20001112,SEA,JAX,28,21,7.5,1.0
20001112,STL,NYG,38,24,-2,1.0
20001113,OAK,DEN,24,27,3,0.0
20001119,ARI,PHI,9,34,7,0.0
20001119,ATL,SFO,6,16,5.5,0.0
20001119,BUF,KAN,21,17,3,1.0
20001119,CAR,MIN,17,31,9.5,0.0
20001119,CIN,NWE,13,16,7,1.0
20001119,CLE,TEN,10,24,16,1.0
20001119,DAL,BAL,0,27,7,0.0
20001119,DET,NYG,31,21,5,1.0
20001119,IND,GNB,24,26,-6,0.0
20001119,JAX,PIT,34,24,3,1.0
20001119,NYJ,MIA,20,3,3.5,1.0
20001119,OAK,NOR,31,22,-3,1.0
20001119,SDG,DEN,37,38,9.5,1.0
20001119,TAM,CHI,10,13,-8,0.0
20001120,WAS,STL,33,20,5.5,1.0
20001123,MIN,DAL,27,15,-7,1.0
20001123,NWE,DET,9,34,6.5,0.0
20001126,ATL,OAK,14,41,11,0.0
20001126,BUF,TAM,17,31,4,0.0
20001126,CHI,NYJ,10,17,7,0.0
20001126,CLE,BAL,7,44,15,0.0
20001126,DEN,SEA,38,31,-3,1.0
20001126,KAN,SDG,16,17,-3,0.0
20001126,MIA,IND,17,14,5.5,1.0
20001126,NOR,STL,31,24,13.5,1.0
20001126,NYG,ARI,31,7,-6,1.0
20001126,PHI,WAS,23,20,7,1.0
20001126,PIT,CIN,48,28,-4,1.0
