date,vis,hom,vis_score,hom_score,line,tag
20121115,MIA,BUF,14,19,2.5
20121118,ARI,ATL,19,23,9.5
20121118,BAL,PIT,13,10,-3
20121118,CIN,KAN,28,6,-3
20121118,CLE,DAL,20,23,7
20121118,GNB,DET,24,20,-3
20121118,IND,NWE,24,59,10
20121118,JAX,HOU,37,43,15.5
20121118,NOR,OAK,38,17,-6.5
20121118,NYJ,STL,27,13,3.5
20121118,PHI,WAS,6,31,3.5
20121118,SDG,DEN,23,30,7.5
20121118,TAM,CAR,27,21,-1.5
20121119,CHI,SFO,7,32,5
20121122,HOU,DET,34,31,-4
20121122,NWE,NYJ,49,19,-7
20121122,WAS,DAL,38,31,3.5
20121125,ATL,TAM,24,23,-1.5
20121125,BAL,SDG,16,13,-1
20121125,BUF,IND,13,20,3
20121125,DEN,KAN,17,9,-10.5
20121125,GNB,NYG,10,38,2.5
20121125,MIN,CHI,10,28,6.5
20121125,OAK,CIN,10,34,8
20121125,PIT,CLE,14,20,-2
20121125,SEA,MIA,21,24,-3
20121125,SFO,NOR,31,21,-1.5
20121125,STL,ARI,31,17,1
20121125,TEN,JAX,19,24,-3.5
20121126,CAR,PHI,30,22,-3
20121129,NOR,ATL,13,23,3.5
20121202,ARI,NYJ,6,7,6
20121202,CAR,KAN,21,27,-6
20121202,CIN,SDG,20,13,-2.5
20121202,CLE,OAK,20,17,-2.5
20121202,HOU,TEN,24,10,-7
20121202,IND,DET,35,33,7
20121202,JAX,BUF,18,34,6
20121202,MIN,GNB,14,23,7.5
20121202,NWE,MIA,23,16,-9
20121202,PHI,DAL,33,38,10.5
20121202,PIT,BAL,23,20,7.5
20121202,SEA,CHI,23,17,3.5
20121202,SFO,STL,13,16,-8
20121202,TAM,DEN,23,31,7.5
20121203,NYG,WAS,16,17,-3
20121206,DEN,OAK,26,13,-10.5
20121209,ARI,SEA,0,58,10
20121209,ATL,CAR,20,30,-3.5
20121209,BAL,WAS,28,31,1.5
20121209,CHI,MIN,14,21,-1.5
20121209,DAL,CIN,20,19,3.5
20121209,DET,GNB,20,27,6.5
20121209,KAN,CLE,7,30,7
20121209,MIA,SFO,13,27,10.5
20121209,NOR,NYG,27,52,4.5
20121209,NYJ,JAX,17,10,-3
20121209,PHI,TAM,23,21,7
20121209,SDG,PIT,34,24,7.5
20121209,STL,BUF,15,12,3
20121209,TEN,IND,23,27,4
20121210,HOU,NWE,14,42,5.5
20121213,CIN,PHI,34,13,-5
20121216,CAR,SDG,31,7,3
20121216,DEN,BAL,34,17,-3
20121216,DET,ARI,10,38,-6.5
20121216,GNB,CHI,21,13,-3
20121216,IND,HOU,17,29,10.5
20121216,JAX,MIA,3,24,7.5
20121216,KAN,OAK,0,15,4.5
20121216,MIN,STL,36,22,2.5
20121216,NYG,ATL,0,34,0
20121216,PIT,DAL,24,27,-2.5
20121216,SEA,BUF,50,17,-5
20121216,SFO,NWE,41,34,5
20121216,TAM,NOR,0,41,3.5
20121216,WAS,CLE,38,21,4
20121217,NYJ,TEN,10,14,1
20121222,ATL,DET,31,18,-4
20121223,BUF,MIA,10,24,5
20121223,CHI,ARI,28,13,-7
20121223,CIN,PIT,13,10,3.5
20121223,CLE,DEN,12,34,11
20121223,IND,KAN,20,13,-6
20121223,MIN,HOU,23,6,7.5
20121223,NOR,DAL,34,31,3
20121223,NWE,JAX,23,16,-14.5
20121223,NYG,BAL,14,33,-2.5
20121223,OAK,CAR,6,17,9.5
20121223,SDG,NYJ,27,17,3
20121223,SFO,SEA,13,42,2
20121223,STL,TAM,28,13,3
20121223,TEN,GNB,7,55,11
20121223,WAS,PHI,27,20,-6
20121230,ARI,SFO,13,27,16.5
20121230,BAL,CIN,17,23,3
20121230,CAR,NOR,44,38,4
20121230,CHI,DET,26,24,-3
20121230,CLE,PIT,10,24,9.5
20121230,DAL,WAS,18,28,3
20121230,GNB,MIN,34,37,-3
20121230,HOU,IND,16,28,-6
20121230,JAX,TEN,20,38,5.5
20121230,KAN,DEN,3,38,17
20121230,MIA,NWE,0,28,10
20121230,NYJ,BUF,9,28,3.5
20121230,OAK,SDG,21,24,8
20121230,PHI,NYG,7,42,6.5
20121230,STL,SEA,13,20,12
20121230,TAM,ATL,22,17,3
