Date,Round,Visitor,Visitor Score,Home Team,Home Score,Line,Total Line
01/06/2007,WC,Kansas City Chiefs,8,Indianapolis Colts,23,6.5,51
01/06/2007,WC,Dallas Cowboys,20,Seattle Seahawks,21,2,48.5
01/07/2007,WC,New York Jets,16,New England Patriots,37,9,38.5
01/07/2007,WC,New York Giants,20,Philadelphia Eagles,23,6,46.5
01/13/2007,DP,Indianapolis Colts,15,Baltimore Ravens,6,4,41
01/13/2007,DP,Philadelphia Eagles,24,New Orleans Saints,27,4.5,48.5
01/14/2007,DP,Seattle Seahawks,24,Chicago Bears,27,8.5,37.5
01/14/2007,DP,New England Patriots,24,San Diego Chargers,21,5,46.5
01/21/2007,CC,New Orleans Saints,14,Chicago Bears,39,3,43
01/21/2007,CC,New England Patriots,34,Indianapolis Colts,38,3,47
02/04/2007,SB,Chicago Bears,17,Indianapolis Colts,29,6.5,47
