Date,Round,Visitor,Visitor Score,Home Team,Home Score,Line,Total Line
12/27/1997,WC,Minnesota Vikings,23,New York Giants,22,4.5,38
12/27/1997,WC,Jacksonville Jaguars,17,Denver Broncos,42,6.5,45.5
12/28/1997,WC,Miami Dolphins,3,New England Patriots,17,5,41.5
12/28/1997,WC,Detroit Lions,10,Tampa Bay Buccaneers,20,3,38.5
01/03/1998,DP,New England Patriots,6,Pittsburgh Steelers,7,6,42
01/03/1998,DP,Minnesota Vikings,22,San Francisco 49ers,38,11.5,42
01/04/1998,DP,Tampa Bay Buccaneers,7,Green Bay Packers,21,13,38
01/04/1998,DP,Denver Broncos,14,Kansas City Chiefs,10,0,41
01/11/1998,CC,Denver Broncos,24,Pittsburgh Steelers,21,1,41
01/11/1998,CC,Green Bay Packers,23,San Francisco 49ers,10,-1.5,43.5
01/25/1998,SB,Denver Broncos,31,Green Bay Packers,24,11,50
