Date,Round,Visitor,Visitor Score,Home Team,Home Score,Line,Total Line
12/30/1995,WC,Miami Dolphins,22,Buffalo Bills,37,3.5,42.5
12/30/1995,WC,Detroit Lions,37,Philadelphia Eagles,58,-3,42
12/31/1995,WC,Atlanta Falcons,20,Green Bay Packers,37,9.5,44
12/31/1995,WC,Indianapolis Colts,35,San Diego Chargers,20,5.5,40
01/06/1996,DP,Buffalo Bills,21,Pittsburgh Steelers,40,6,42
01/06/1996,DP,Green Bay Packers,27,San Francisco 49ers,17,9.5,52
01/07/1996,DP,Philadelphia Eagles,11,Dallas Cowboys,30,13.5,45.5
01/07/1996,DP,Indianapolis Colts,10,Kansas City Chiefs,7,8,41.5
01/14/1996,CC,Indianapolis Colts,16,Pittsburgh Steelers,20,11,43
01/14/1996,CC,Green Bay Packers,27,Dallas Cowboys,38,9,50.5
01/28/1996,SB,Pittsburgh Steelers,17,Dallas Cowboys,27,13.5,51
