Date,Round,Visitor,Visitor Score,Home Team,Home Score,Line,Total Line
01/08/1994,WC,Green Bay Packers,28,Detroit Lions,24,1.5,38.5
01/08/1994,WC,Pittsburgh Steelers,24,Kansas City Chiefs,27,7.5,36
01/09/1994,WC,Denver Broncos,24,Los Angeles Raiders,42,2,41
01/09/1994,WC,Minnesota Vikings,10,New York Giants,17,6.5,33
01/15/1994,DP,New York Giants,3,San Francisco 49ers,44,8,41.5
01/15/1994,DP,Los Angeles Raiders,23,Buffalo Bills,29,7,33.5
01/16/1994,DP,Green Bay Packers,17,Dallas Cowboys,27,13.5,42
01/16/1994,DP,Kansas City Chiefs,28,Houston Oilers,20,7,41.5
01/23/1994,CC,Kansas City Chiefs,13,Buffalo Bills,30,3,39
01/23/1994,CC,San Francisco 49ers,21,Dallas Cowboys,38,3,48
01/30/1994,SB,Buffalo Bills,13,Dallas Cowboys,30,10.5,50
