Date,Round,Visitor,Visitor Score,Home Team,Home Score,Line,Total Line
12/31/1994,WC,Detroit Lions,12,Green Bay Packers,16,4.5,40
12/31/1994,WC,Kansas City Chiefs,17,Miami Dolphins,27,3,45
01/01/1995,WC,Chicago Bears,35,Minnesota Vikings,18,6,38
01/01/1995,WC,New England Patriots,13,Cleveland Browns,20,3,35.5
01/07/1995,DP,Chicago Bears,15,San Francisco 49ers,44,15.5,46.5
01/07/1995,DP,Cleveland Browns,9,Pittsburgh Steelers,29,3.5,32.5
01/08/1995,DP,Green Bay Packers,9,Dallas Cowboys,35,10,43
01/08/1995,DP,Miami Dolphins,21,San Diego Chargers,22,3,46
01/15/1995,CC,Dallas Cowboys,28,San Francisco 49ers,38,7,48
01/15/1995,CC,San Diego Chargers,17,Pittsburgh Steelers,13,6,35
01/29/1995,SB,San Diego Chargers,26,San Francisco 49ers,49,19,52
