Date,Round,Visitor,Visitor Score,Home Team,Home Score,Line,Total Line
12/30/2000,WC,Indianapolis Colts,17,Miami Dolphins,23,-1.5,42
12/30/2000,WC,St Louis Rams,28,New Orleans Saints,31,-5.5,55
12/31/2000,WC,Denver Broncos,3,Baltimore Ravens,21,3.5,41
12/31/2000,WC,Tampa Bay Buccaneers,3,Philadelphia Eagles,21,-3,34
01/06/2001,DP,New Orleans Saints,16,Minnesota Vikings,34,8,49.5
01/06/2001,DP,Miami Dolphins,0,Oakland Raiders,27,9,42
01/07/2001,DP,Baltimore Ravens,24,Tennessee Titans,10,6,34
01/07/2001,DP,Philadelphia Eagles,10,New York Giants,20,4.5,33.5
01/14/2001,CC,Minnesota Vikings,0,New York Giants,41,-1,41.5
01/14/2001,CC,Baltimore Ravens,16,Oakland Raiders,3,6,38
01/28/2001,SB,New York Giants,7,Baltimore Ravens,34,3,33
