Date,Round,Visitor,Visitor Score,Home Team,Home Score,Line,Total Line
12/28/1996,WC,Jacksonville Jaguars,30,Buffalo Bills,27,8.5,38
12/28/1996,WC,Minnesota Vikings,15,Dallas Cowboys,40,10,40
12/29/1996,WC,Indianapolis Colts,14,Pittsburgh Steelers,42,8,37
12/29/1996,WC,Philadelphia Eagles,0,San Francisco 49ers,14,10.5,42
01/04/1997,DP,San Francisco 49ers,14,Green Bay Packers,35,5,41.5
01/04/1997,DP,Jacksonville Jaguars,30,Denver Broncos,27,12.5,43.5
01/05/1997,DP,Pittsburgh Steelers,3,New England Patriots,28,3,41.5
01/05/1997,DP,Dallas Cowboys,17,Carolina Panthers,26,-3.5,37.5
01/12/1997,CC,Carolina Panthers,13,Green Bay Packers,30,12,39
01/12/1997,CC,Jacksonville Jaguars,6,New England Patriots,20,7.5,44
01/26/1997,SB,New England Patriots,21,Green Bay Packers,35,14,52
