Date,Round,Visitor,Visitor Score,Home Team,Home Score,Line,Total Line
12/22/1984,WC,Los Angeles Raiders,7,Seattle Seahawks,13,-1.5, 
12/23/1984,WC,New York Giants,16,Los Angeles Rams,13,4.5, 
12/29/1984,DP,New York Giants,10,San Francisco 49ers,21,12, 
12/29/1984,DP,Seattle Seahawks,10,Miami Dolphins,31,5.5, 
12/30/1984,DP,Chicago Bears,23,Washington Redskins,19,9, 
12/30/1984,DP,Pittsburgh Steelers,24,Denver Broncos,17,4.5, 
01/06/1985,CC,Chicago Bears,0,San Francisco 49ers,23,10, 
01/06/1985,CC,Pittsburgh Steelers,28,Miami Dolphins,45,10, 
01/20/1985,SB,Miami Dolphins,16,San Francisco 49ers,38,3, 
