Date,Round,Visitor,Visitor Score,Home Team,Home Score,Line,Total Line
01/03/1988,WC,Minnesota Vikings,44,New Orleans Saints,10,6.5,46
01/03/1988,WC,Seattle Seahawks,20,Houston Oilers,23,-2.5,45
01/09/1988,DP,Indianapolis Colts,21,Cleveland Browns,38,8,37
01/09/1988,DP,Minnesota Vikings,36,San Francisco 49ers,24,11,47
01/10/1988,DP,Houston Oilers,10,Denver Broncos,34,10,46
01/10/1988,DP,Washington Redskins,21,Chicago Bears,17,4.5,38
01/17/1988,CC,Cleveland Browns,33,Denver Broncos,38,3,45
01/17/1988,CC,Minnesota Vikings,10,Washington Redskins,17,3,45
01/31/1988,SB,Washington Redskins,42,Denver Broncos,10,3.5,47
