Date,Round,Visitor,Visitor Score,Home Team,Home Score,Line,Total Line
01/05/2008,WC,Washington Redskins,14,Seattle Seahawks,35,3.5,38.5
01/05/2008,WC,Jacksonville Jaguars,31,Pittsburgh Steelers,29,-2.5,40
01/06/2008,WC,New York Giants,24,Tampa Bay Buccaneers,14,3,39.5
01/06/2008,WC,Tennessee Titans,6,San Diego Chargers,17,10,39
01/12/2008,DP,Seattle Seahawks,20,Green Bay Packers,42,7.5,44
01/12/2008,DP,Jacksonville Jaguars,20,New England Patriots,31,13.5,51.5
01/13/2008,DP,San Diego Chargers,28,Indianapolis Colts,24,11,47
01/13/2008,DP,New York Giants,21,Dallas Cowboys,17,7,47.5
01/20/2008,CC,San Diego Chargers,12,New England Patriots,21,14,48
01/20/2008,CC,New York Giants,23,Green Bay Packers,20,7.5,41.5
02/03/2008,SB,New York Giants,17,New England Patriots,14,12.5,54.5
