Date,Round,Visitor,Visitor Score,Home Team,Home Score,Line,Total Line
12/28/1991,WC,Atlanta Falcons,27,New Orleans Saints,20,6,39
12/28/1991,WC,Los Angeles Raiders,6,Kansas City Chiefs,10,5,36
12/29/1991,WC,Dallas Cowboys,17,Chicago Bears,13,3,37
12/29/1991,WC,New York Jets,10,Houston Oilers,17,9,44
01/04/1992,DP,Atlanta Falcons,7,Washington Redskins,24,11.5,43
01/04/1992,DP,Houston Oilers,24,Denver Broncos,26,3.5,37
01/05/1992,DP,Dallas Cowboys,6,Detroit Lions,38,0,43
01/05/1992,DP,Kansas City Chiefs,14,Buffalo Bills,37,10.5,41
01/12/1992,CC,Denver Broncos,7,Buffalo Bills,10,12,46
01/12/1992,CC,Detroit Lions,10,Washington Redskins,41,14,43
01/26/1992,SB,Buffalo Bills,24,Washington Redskins,37,7,48
