Date,Round,Visitor,Visitor Score,Home Team,Home Score,Line,Total Line
12/31/1989,WC,Pittsburgh Steelers,26,Houston Oilers,23,7,43
12/31/1989,WC,Los Angeles Rams,21,Philadelphia Eagles,7,3,39
01/06/1990,DP,Buffalo Bills,30,Cleveland Browns,34,3.5,36
01/06/1990,DP,Minnesota Vikings,13,San Francisco 49ers,41,7.5,44
01/07/1990,DP,Pittsburgh Steelers,23,Denver Broncos,24,10,38
01/07/1990,DP,Los Angeles Rams,19,New York Giants,13,3,39
01/13/1990,CC,Cleveland Browns,21,Denver Broncos,37,3.5,40
01/13/1990,CC,Los Angeles Rams,3,San Francisco 49ers,30,7,46
01/27/1990,SB,Denver Broncos,10,San Francisco 49ers,55,13,48
