Date,Round,Visitor,Visitor Score,Home Team,Home Score,Line,Total Line
01/08/1983,WC,Cleveland Browns,10,Los Angeles Raiders,27,8.5, 
01/08/1983,WC,Detroit Lions,7,Washington Redskins,31,6, 
01/08/1983,WC,New England Patriots,13,Miami Dolphins,28,7.5, 
01/08/1983,WC,St Louis Cardinals,16,Green Bay Packers,41,4.5, 
01/09/1983,WC,Atlanta Falcons,24,Minnesota Vikings,30,2, 
01/09/1983,WC,New York Jets,44,Cincinnati Bengals,17,4, 
01/09/1983,WC,San Diego Chargers,31,Pittsburgh Steelers,28,1, 
01/09/1983,WC,Tampa Bay Buccaneers,17,Dallas Cowboys,30,8, 
01/15/1983,DP,Minnesota Vikings,7,Washington Redskins,21,6, 
01/15/1983,DP,New York Jets,17,Los Angeles Raiders,14,3.5, 
01/16/1983,DP,Green Bay Packers,26,Dallas Cowboys,37,7, 
01/16/1983,DP,San Diego Chargers,13,Miami Dolphins,34,-1.5, 
01/22/1983,CC,Dallas Cowboys,17,Washington Redskins,31,-2, 
01/23/1983,CC,New York Jets,0,Miami Dolphins,14,1, 
01/30/1983,SB,Washington Redskins,27,Miami Dolphins,17,3, 
