Date,Round,Visitor,Visitor Score,Home Team,Home Score,Line,Total Line
01/12/2002,WC,Tampa Bay Buccaneers,9,Philadelphia Eagles,31,3.5,33
01/12/2002,WC,New York Jets,24,Oakland Raiders,38,4.5,42
01/13/2002,WC,San Francisco 49ers,15,Green Bay Packers,25,3.5,39
01/13/2002,WC,Baltimore Ravens,20,Miami Dolphins,3,2.5,33
01/19/2002,DP,Philadelphia Eagles,33,Chicago Bears,19,3,32.5
01/19/2002,DP,Oakland Raiders,13,New England Patriots,16,3,41.5
01/20/2002,DP,Baltimore Ravens,10,Pittsburgh Steelers,27,5.5,32
01/20/2002,DP,Green Bay Packers,17,St Louis Rams,45,11,54.5
01/27/2002,CC,New England Patriots,24,Pittsburgh Steelers,17,10,35.5
01/27/2002,CC,Philadelphia Eagles,24,St Louis Rams,29,11,51
02/03/2002,SB,New England Patriots,20,St Louis Rams,17,14,52.5
