Date,Round,Visitor,Visitor Score,Home Team,Home Score,Line,Total Line
12/28/1986,WC,Kansas City Chiefs,15,New York Jets,35,3,39
12/28/1986,WC,Los Angeles Rams,7,Washington Redskins,19,4.5,40
01/03/1987,DP,New York Jets,20,Cleveland Browns,23,7,41
01/03/1987,DP,Washington Redskins,27,Chicago Bears,13,7,34
01/04/1987,DP,New England Patriots,17,Denver Broncos,22,4,43
01/04/1987,DP,San Francisco 49ers,3,New York Giants,49,3,39
01/11/1987,CC,Denver Broncos,23,Cleveland Browns,20,3,38
01/11/1987,CC,Washington Redskins,0,New York Giants,17,7,38
01/25/1987,SB,Denver Broncos,20,New York Giants,39,9,41
