Date,Round,Visitor,Visitor Score,Home Team,Home Score,Line,Total Line
12/24/1988,WC,Houston Oilers,24,Cleveland Browns,23,3,38
12/26/1988,WC,Los Angeles Rams,17,Minnesota Vikings,28,5.5,42
12/31/1988,DP,Philadelphia Eagles,12,Chicago Bears,20,5.5,38
12/31/1988,DP,Seattle Seahawks,13,Cincinnati Bengals,21,6.5,46
01/01/1989,DP,Houston Oilers,10,Buffalo Bills,17,3.5,37
01/01/1989,DP,Minnesota Vikings,9,San Francisco 49ers,34,3.5,44
01/08/1989,CC,Buffalo Bills,10,Cincinnati Bengals,21,4,41
01/08/1989,CC,San Francisco 49ers,28,Chicago Bears,3,-2,35
01/22/1989,SB,Cincinnati Bengals,16,San Francisco 49ers,20,6,46
