Date,Round,Visitor,Visitor Score,Home Team,Home Score,Line,Total Line
01/07/2012,WC,Cincinnati Bengals,10,Houston Texans,31,4,38
01/07/2012,WC,Detroit Lions,28,New Orleans Saints,45,10.5,60
01/08/2012,WC,Atlanta Falcons,2,New York Giants,24,3,48
01/08/2012,WC,Pittsburgh Steelers,23,Denver Broncos,29,-7.5,34
01/14/2012,DP,New Orleans Saints,32,San Francisco 49ers,36,-3.5,47
01/14/2012,DP,Denver Broncos,10,New England Patriots,45,13.5,50
01/15/2012,DP,Houston Texans,13,Baltimore Ravens,20,8,37.5
01/15/2012,DP,New York Giants,37,Green Bay Packers,20,8,54.5
01/22/2012,CC,Baltimore Ravens,20,New England Patriots,23,7,50
01/22/2012,CC,New York Giants,20,San Francisco 49ers,17,2,41.5
02/05/2012,SB,New York Giants,21,New England Patriots,17,3,53.5
