Date,Round,Visitor,Visitor Score,Home Team,Home Score,Line,Total Line
12/28/1980,WC,Houston Oilers,7,Oakland Raiders,27,-1, 
12/28/1980,WC,Los Angeles Rams,13,Dallas Cowboys,34,3, 
01/03/1981,DP,Buffalo Bills,14,San Diego Chargers,20,6, 
01/03/1981,DP,Minnesota Vikings,16,Philadelphia Eagles,31,7, 
01/04/1981,DP,Dallas Cowboys,30,Atlanta Falcons,27,2.5, 
01/04/1981,DP,Oakland Raiders,14,Cleveland Browns,12,3.5, 
01/11/1981,CC,Dallas Cowboys,7,Philadelphia Eagles,20,-1, 
01/11/1981,CC,Oakland Raiders,34,San Diego Chargers,27,4, 
01/25/1981,SB,Philadelphia Eagles,10,Oakland Raiders,27,-3, 
