Date,Round,Visitor,Visitor Score,Home Team,Home Score,Line,Total Line
12/29/1985,WC,New England Patriots,26,New York Jets,14,3, 
12/29/1985,WC,San Francisco 49ers,3,New York Giants,17,-3, 
01/04/1986,DP,Cleveland Browns,21,Miami Dolphins,24,10.5, 
01/04/1986,DP,Dallas Cowboys,0,Los Angeles Rams,20,2, 
01/05/1986,DP,New England Patriots,27,Los Angeles Raiders,20,5.5, 
01/05/1986,DP,New York Giants,0,Chicago Bears,21,9, 
01/12/1986,CC,New England Patriots,31,Miami Dolphins,14,5.5, 
01/12/1986,CC,Los Angeles Rams,0,Chicago Bears,24,10.5, 
01/26/1986,SB,New England Patriots,10,Chicago Bears,46,10, 
