Date,Round,Visitor,Visitor Score,Home Team,Home Score,Line,Total Line
01/02/1993,WC,Kansas City Chiefs,0,San Diego Chargers,17,3,37
01/02/1993,WC,Washington Redskins,24,Minnesota Vikings,7,3.5,37
01/03/1993,WC,Houston Oilers,38,Buffalo Bills,41,2,37
01/03/1993,WC,Philadelphia Eagles,36,New Orleans Saints,20,3.5,35
01/09/1993,DP,Buffalo Bills,24,Pittsburgh Steelers,3,2,36
01/09/1993,DP,Washington Redskins,13,San Francisco 49ers,20,9.5,39
01/10/1993,DP,Philadelphia Eagles,10,Dallas Cowboys,34,6.5,38
01/10/1993,DP,San Diego Chargers,0,Miami Dolphins,31,2,37
01/17/1993,CC,Buffalo Bills,29,Miami Dolphins,10,-2.5,41
01/17/1993,CC,Dallas Cowboys,30,San Francisco 49ers,20,4,37
01/31/1993,SB,Buffalo Bills,17,Dallas Cowboys,52,6.5,45
