Date,Round,Visitor,Visitor Score,Home Team,Home Score,Line,Total Line
12/23/1979,WC,Chicago Bears,17,Philadelphia Eagles,27,6.5, 
12/23/1979,WC,Denver Broncos,7,Houston Oilers,13,7, 
12/29/1979,DP,Houston Oilers,17,San Diego Chargers,14,8, 
12/29/1979,DP,Philadelphia Eagles,17,Tampa Bay Buccaneers,24,-4.5, 
12/30/1979,DP,Miami Dolphins,14,Pittsburgh Steelers,34,9.5, 
12/30/1979,DP,Los Angeles Rams,21,Dallas Cowboys,19,8.5, 
01/06/1980,CC,Houston Oilers,13,Pittsburgh Steelers,27,9.5, 
01/06/1980,CC,Los Angeles Rams,9,Tampa Bay Buccaneers,0,-3.5, 
01/20/1980,SB,Pittsburgh Steelers,31,Los Angeles Rams,19,-10, 
