Date,Round,Visitor,Visitor Score,Home Team,Home Score,Line,Total Line
01/02/1999,WC,Buffalo Bills,17,Miami Dolphins,24,2.5,43
01/02/1999,WC,Arizona Cardinals,20,Dallas Cowboys,7,7,42
01/03/1999,WC,New England Patriots,10,Jacksonville Jaguars,25,8.5,41
01/03/1999,WC,Green Bay Packers,27,San Francisco 49ers,30,3,49.5
01/09/1999,DP,San Francisco 49ers,18,Atlanta Falcons,20,3.5,53
01/09/1999,DP,Miami Dolphins,3,Denver Broncos,38,13.5,48
01/10/1999,DP,Jacksonville Jaguars,24,New York Jets,34,9,43
01/10/1999,DP,Arizona Cardinals,21,Minnesota Vikings,41,16.5,52.5
01/17/1999,CC,Atlanta Falcons,30,Minnesota Vikings,27,11,55.5
01/17/1999,CC,New York Jets,10,Denver Broncos,23,9,50.5
01/31/1999,SB,Atlanta Falcons,19,Denver Broncos,34,7.5,52
