Date,Round,Visitor,Visitor Score,Home Team,Home Score,Line,Total Line
12/24/1978,WC,Houston Oilers,17,Miami Dolphins,9,6.5, 
12/24/1978,WC,Philadelphia Eagles,13,Atlanta Falcons,14,2.5, 
12/30/1978,DP,Atlanta Falcons,20,Dallas Cowboys,27,15, 
12/30/1978,DP,Denver Broncos,10,Pittsburgh Steelers,33,7, 
12/31/1978,DP,Houston Oilers,31,New England Patriots,14,6, 
12/31/1978,DP,Minnesota Vikings,10,Los Angeles Rams,34,7.5, 
01/07/1979,CC,Dallas Cowboys,28,Los Angeles Rams,0,-3.5, 
01/07/1979,CC,Houston Oilers,5,Pittsburgh Steelers,34,7, 
01/21/1979,SB,Dallas Cowboys,31,Pittsburgh Steelers,35,3.5, 
