Date,Round,Visitor,Visitor Score,Home Team,Home Score,Line,Total Line
01/04/2003,WC,Indianapolis Colts,0,New York Jets,41,6,42
01/04/2003,WC,Atlanta Falcons,27,Green Bay Packers,7,6.5,40.5
01/05/2003,WC,Cleveland Browns,33,Pittsburgh Steelers,36,8,43
01/05/2003,WC,New York Giants,38,San Francisco 49ers,39,3,41
01/11/2003,DP,Pittsburgh Steelers,31,Tennessee Titans,34,4.5,44
01/11/2003,DP,Atlanta Falcons,6,Philadelphia Eagles,20,7.5,38.5
01/12/2003,DP,San Francisco 49ers,6,Tampa Bay Buccaneers,31,6,39.5
01/12/2003,DP,New York Jets,10,Oakland Raiders,30,5.5,47
01/19/2003,CC,Tampa Bay Buccaneers,27,Philadelphia Eagles,10,4,33.5
01/19/2003,CC,Tennessee Titans,24,Oakland Raiders,41,9,46
01/26/2003,SB,Tampa Bay Buccaneers,48,Oakland Raiders,21,3.5,44
