Date,Round,Visitor,Visitor Score,Home Team,Home Score,Line,Total Line
01/03/2004,WC,Tennessee Titans,20,Baltimore Ravens,17,-1,38
01/03/2004,WC,Dallas Cowboys,10,Carolina Panthers,29,3,34
01/04/2004,WC,Seattle Seahawks,27,Green Bay Packers,33,7.5,43.5
01/04/2004,WC,Denver Broncos,10,Indianapolis Colts,41,3,49
01/10/2004,DP,Carolina Panthers,29,St Louis Rams,23,7,46
01/10/2004,DP,Tennessee Titans,14,New England Patriots,17,6,34
01/11/2004,DP,Indianapolis Colts,38,Kansas City Chiefs,31,3,53
01/11/2004,DP,Green Bay Packers,17,Philadelphia Eagles,20,4,43
01/18/2004,CC,Indianapolis Colts,14,New England Patriots,24,3.5,42
01/18/2004,CC,Carolina Panthers,14,Philadelphia Eagles,3,4,36.5
02/01/2004,SB,Carolina Panthers,29,New England Patriots,32,7,38
