Date,Round,Visitor,Visitor Score,Home Team,Home Score,Line,Total Line
12/24/1983,WC,Denver Broncos,7,Seattle Seahawks,31,3.5, 
12/26/1983,WC,Los Angeles Rams,24,Dallas Cowboys,17,8, 
12/31/1983,DP,Detroit Lions,23,San Francisco 49ers,24,7.5, 
12/31/1983,DP,Seattle Seahawks,27,Miami Dolphins,20,8, 
01/01/1984,DP,Pittsburgh Steelers,10,Los Angeles Raiders,38,7, 
01/01/1984,DP,Los Angeles Rams,7,Washington Redskins,51,9.5, 
01/08/1984,CC,Seattle Seahawks,14,Los Angeles Raiders,30,7, 
01/08/1984,CC,San Francisco 49ers,21,Washington Redskins,24,10, 
01/22/1984,SB,Los Angeles Raiders,38,Washington Redskins,9,2, 
