Date,Round,Visitor,Visitor Score,Home Team,Home Score,Line,Total Line
01/08/2005,WC,St Louis Rams,27,Seattle Seahawks,20,4,51
01/08/2005,WC,New York Jets,20,San Diego Chargers,17,6.5,42.5
01/09/2005,WC,Denver Broncos,24,Indianapolis Colts,49,10,56
01/09/2005,WC,Minnesota Vikings,31,Green Bay Packers,17,6,52.5
01/15/2005,DP,New York Jets,17,Pittsburgh Steelers,20,9,35.5
01/15/2005,DP,St Louis Rams,17,Atlanta Falcons,47,6.5,49
01/16/2005,DP,Minnesota Vikings,14,Philadelphia Eagles,27,8,47
01/16/2005,DP,Indianapolis Colts,3,New England Patriots,20,1,51
01/23/2005,CC,Atlanta Falcons,10,Philadelphia Eagles,27,6,37
01/23/2005,CC,New England Patriots,41,Pittsburgh Steelers,27,-3,36.5
02/06/2005,SB,New England Patriots,24,Philadelphia Eagles,21,-7,47
