Date,Round,Visitor,Visitor Score,Home Team,Home Score,Line,Total Line
12/27/1981,WC,Buffalo Bills,31,New York Jets,27,3, 
12/27/1981,WC,New York Giants,27,Philadelphia Eagles,21,7, 
01/02/1982,DP,San Diego Chargers,41,Miami Dolphins,38,-2.5, 
01/02/1982,DP,Tampa Bay Buccaneers,0,Dallas Cowboys,38,8, 
01/03/1982,DP,Buffalo Bills,21,Cincinnati Bengals,28,6, 
01/03/1982,DP,New York Giants,24,San Francisco 49ers,38,6, 
01/10/1982,CC,Dallas Cowboys,27,San Francisco 49ers,28,-3, 
01/10/1982,CC,San Diego Chargers,7,Cincinnati Bengals,27,4.5, 
01/24/1982,SB,Cincinnati Bengals,21,San Francisco 49ers,26,1, 
