Date,Round,Visitor,Visitor Score,Home Team,Home Score,Line,Total Line
01/05/1991,WC,Kansas City Chiefs,16,Miami Dolphins,17,2.5,41
01/05/1991,WC,Washington Redskins,20,Philadelphia Eagles,6,4.5,40
01/06/1991,WC,Houston Oilers,14,Cincinnati Bengals,41,3.5,42
01/06/1991,WC,New Orleans Saints,6,Chicago Bears,16,6.5,32
01/12/1991,DP,Miami Dolphins,34,Buffalo Bills,44,7,34
01/12/1991,DP,Washington Redskins,10,San Francisco 49ers,28,8,41
01/13/1991,DP,Chicago Bears,3,New York Giants,31,7,33
01/13/1991,DP,Cincinnati Bengals,10,Los Angeles Raiders,20,6,43
01/20/1991,CC,New York Giants,15,San Francisco 49ers,13,8,37
01/20/1991,CC,Los Angeles Raiders,3,Buffalo Bills,51,7,37
01/27/1991,SB,New York Giants,20,Buffalo Bills,19,6.5,40
