Date,Round,Visitor,Visitor Score,Home Team,Home Score,Line,Total Line
01/08/2000,WC,Buffalo Bills,16,Tennessee Titans,22,5,39
01/08/2000,WC,Detroit Lions,13,Washington Redskins,27,6,46
01/09/2000,WC,Dallas Cowboys,10,Minnesota Vikings,27,7,46.5
01/09/2000,WC,Miami Dolphins,20,Seattle Seahawks,17,3.5,39
01/15/2000,DP,Miami Dolphins,7,Jacksonville Jaguars,62,8,37.5
01/15/2000,DP,Washington Redskins,13,Tampa Bay Buccaneers,14,4.5,38
01/16/2000,DP,Minnesota Vikings,37,St Louis Rams,49,7,52
01/16/2000,DP,Tennessee Titans,19,Indianapolis Colts,16,5.5,46.5
01/23/2000,CC,Tennessee Titans,33,Jacksonville Jaguars,14,7,39.5
01/23/2000,CC,Tampa Bay Buccaneers,6,St Louis Rams,11,14,46
01/30/2000,SB,Tennessee Titans,16,St Louis Rams,23,7,48
