Date,Round,Visitor,Visitor Score,Home Team,Home Score,Line,Total Line
01/05/2013,WC,Cincinnati Bengals,13,Houston Texans,19,4,42.5
01/05/2013,WC,Minnesota Vikings,10,Green Bay Packers,24,11,44.5
01/06/2013,WC,Indianapolis Colts,9,Baltimore Ravens,24,7,47
01/06/2013,WC,Seattle Seahawks,24,Washington Redskins,14,-3,45
01/12/2013,DP,Baltimore Ravens,38,Denver Broncos,35,9,44.5
01/12/2013,DP,Green Bay Packers,31,San Francisco 49ers,45,3,45.5
01/13/2013,DP,Seattle Seahawks,28,Atlanta Falcons,30,3,47
01/13/2013,DP,Houston Texans,28,New England Patriots,41,9.5,51
01/20/2013,CC,San Francisco 49ers,28,Atlanta Falcons,24,-4.5,49
01/20/2013,CC,Baltimore Ravens,28,New England Patriots,13,7.5,51.5
02/03/2013,SB,Baltimore Ravens,34,San Francisco 49ers,31,4.5,48
